Text,Type,Pick
nunc commodo magna et ,Answer,
aenean gravida odio ut justo tempor,Answer,
sed malesuada ligula a risus,Answer,
curabitur luctus ante eget sapien,Answer,
aenean et erat sit amet lacus mollis commodo ,Answer,
purus vitae consequat luctus,Answer,
id eros ut est imperdiet rutrum,Answer,
dui id accumsan dapibus,Answer,
maximus enim eget eros suscipit,Answer,
luctus nibh at nulla porttitor tempor,Answer,
"amet enim dictum, ultrices sapien",Answer,
elit eget euismod consequat,Answer,
"mattis nibh a lectus vulputate, eu sodales arcu",Answer,
"nunc a orci vehicula, id tincidunt dui semper",Answer,
"vivamus id urna venenatis, venenatis sapien eget, semper odio",Answer,
aenean aliquam nunc ac ante tempor rutrum,Answer,
muris iaculis libero vitae sodales tempus,Answer,
tincidunt sem vitae vulputate,Answer,
Integer mattis risus eget quam commodo tincidunt eget ac massa.,Answer,
Aliquam ut lacus a odio varius iaculis,Answer,
Quisque nec nulla,Answer,
"laoreet nunc ac ligula semper, id ornare",Answer,
vitae nunc malesuada dui tincidunt,Answer,
pellentesque lorem quis interdum,Answer,
tincidunt augue ut volutpat aliquam,Answer,
Fusce ullamcorper orci vel nulla mollis pharetra,Answer,
"vel lorem pellentesque, maximus enim et, bibendum felis",Answer,
eleifend diam in suscipit rutrum,Answer,
faucibus lacus id quam varius euismod cursus in dui,Answer,
diam id urna rutrum varius,Answer,
vitae dolor eget velit dapibus sodales,Answer,
lectus euismod ornare eget ac ligula,Answer,
"sagittis sem quis, porta odio",Answer,
tellus ac lobortis sodales,Answer,
"morbi ut nulla auctor, sodales est ut, rutrum diam",Answer,
vitae enim sed nisi rhoncus,Answer,
Duis ac lectus sed eros hendrerit sollicitudin _ fermentum fermentum neque.,Question,1
Phasellus id turpis eu leo congue _ consectetur.,Question,1
Sed ut sem vehicula velit tristique _ convallis vel a _ nisl.,Question,2
Nunc sed nisl eget lacus mattis _ interdum.,Question,1
"Etiam accumsan massa a arcu sodales, finibus _ dignissim tortor euismod.",Question,1
Vestibulum volutpat neque eget dui _ faucibus consectetur.,Question,1
Integer _ venenatis ligula ut tortor semper mollis.,Question,1
"Morbi posuere nisl iaculis purus _ pellentesque, nec interdum neque _ finibus.",Question,2
Donec fermentum velit eu erat _ commodo consectetur.,Question,1
"Donec tincidunt _ enim eu nisl rutrum, vel euismod _ mauris maximus.",Question,2
Mauris tincidunt quam in arcu condimentum?,Question,1
Donec facilisis nulla vel vehicula facilisis?,Question,1
"In id tortor blandit, laoreet sapien tristique, iaculis _ elit.",Question,1
Donec vel libero nec dolor tristique pulvinar vel in tellus _.,Question,1
Sed eleifend risus eget sem semper _.,Question,1
